0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,3.4242,7.3457,1.156,5.3065,4.7244,4.1201,6.4325,-1.7956,-0.25906,0.25658,-0.092246,-0.011849,37,5,64
6,1,0,7.4206,6.6802,0.093382,4.2618,3.3548,3.4412,2.8403,1.0341,7.9328,0.19866,0.089579,0.54091,12,2,73
6,2,0,-1.1349,7.4198,0.21522,6.5284,8.0462,6.1421,-11.197,-9.5722,8.4726,-0.21316,-0.19369,0.21129,58,38,77
6,2,0,1.9671,8.2493,0.1874,5.3683,8.1677,6.6218,12.046,-17.158,7.1517,0.27473,-0.31724,0.20119,48,36,59
6,2,0,-1.8346,7.4388,0.6382,6.5818,8.8408,5.8585,-27.909,-20.527,16.802,-0.47965,-0.39631,0.43575,51,34,79
6,2,0,5.889,4.6358,0.0055117,8.4297,7.8621,6.5377,17.457,-20.751,-0.042508,0.26339,-0.40371,-0.00077131,59,27,98
6,2,0,6.2397,1.6629,-0.69946,9.0148,7.323,6.2106,2.4956,-15.475,-12.526,0.037803,-0.34026,-0.22373,46,27,80
6,2,0,7.5919,1.9407,-0.48636,9.035,5.83,5.8019,1.907,-11.273,-14.832,0.036204,-0.33328,-0.28295,48,28,86
6,2,0,7.3118,1.8712,-0.24347,7.8394,5.1452,5.027,7.5627,-8.8306,-12.189,0.1875,-0.34141,-0.3093,34,33,79
10,1,0,-0.63163,10.27,-0.22412,4.2618,4.9448,5.6806,3.1706,6.0819,7.5449,0.15045,0.21652,0.31165,105,2,118
10,4,0,-0.9484,9.9283,-0.59646,0.23936,0.62894,0.28975,-0.031374,-0.018469,0.03006,-0.20841,-0.10134,0.43342,0,0,6
10,6,0,-0.8835,9.945,1.1882,3.5775,4.2577,3.9972,0.43806,3.1741,2.7403,0.028759,0.18651,0.19163,90,0,105
13,2,0,-0.07965,6.1772,0.15814,4.9777,8.5287,8.0211,-0.99887,34.357,16.146,-0.023529,0.50223,0.40439,101,40,60
13,2,0,-0.52113,7.5621,0.43209,5.034,9.0315,8.2095,1.6347,40.212,12.496,0.035956,0.54234,0.30237,115,43,70
13,2,0,-0.16837,7.0191,0.73375,4.8223,8.8209,8.2494,4.691,42.885,16.28,0.11028,0.58934,0.40924,107,40,65
13,2,0,0.094241,7.3541,1.7694,5.2033,8.7792,7.7144,-2.4812,40.021,12.172,-0.054316,0.59092,0.30323,105,33,56
13,2,0,-0.47747,6.6933,0.2776,5.2877,8.9157,8.308,-1.7311,43.749,7.6467,-0.036719,0.59063,0.17406,104,44,59
13,2,0,-0.18416,7.1343,0.66602,4.7299,9.3443,8.4337,-1.0599,45.36,10.983,-0.023981,0.57559,0.27532,113,51,57
13,2,0,-0.15899,6.6076,0.49145,4.5687,9.0335,7.7622,5.936,36.919,7.8259,0.14383,0.52652,0.22068,122,50,62
13,2,0,0.67265,6.6256,0.46246,4.9961,9.0357,8.1678,4.706,37.899,14.593,0.10425,0.51352,0.35759,112,44,57
13,2,0,0.76358,6.6142,0.60465,4.7424,8.7861,7.9201,10.767,35.734,13.426,0.25842,0.51351,0.35745,110,46,52
13,2,0,0.40311,7.285,0.55393,4.4561,8.1299,6.7736,6.8346,24.785,10.358,0.18866,0.45007,0.34316,103,35,70
15,2,0,-2.2661,5.973,-0.53983,7.5084,8.1608,5.6085,-33.996,4.4415,-7.1204,-0.55482,0.097041,-0.16909,45,53,73
